 time, basinID, pondVol, volFrac, conArea, vMin, pondArea, pondOutflow, basinOutflow,
              1,              1,   3784714.    ,  0.2035341    ,  0.8427722E-01,   3718997.    ,  0.3570786E+08,   2043.644    ,   241265.5    ,
              2,              1,   4562769.    ,  0.2453763    ,  0.1554820    ,   3718997.    ,  0.3948366E+08,   96129.54    ,  0.1094730E+09,
              3,              1,   7159109.    ,  0.3850021    ,  0.3786681    ,   3718997.    ,  0.5030313E+08,   1430938.    ,  0.3659412E+09,
              4,              1,   9262435.    ,  0.4981146    ,  0.5419425    ,   3718997.    ,  0.5777476E+08,   2564171.    ,  0.4580037E+09,
              5,              1,  0.1039477E+08,  0.5590091    ,  0.6227253    ,   3718997.    ,  0.6147068E+08,   2305381.    ,  0.4025867E+09,
              6,              1,  0.1189742E+08,  0.6398188    ,  0.7211416    ,   3718997.    ,  0.6609885E+08,   2572837.    ,  0.3037464E+09,
              7,              1,  0.1203421E+08,  0.6471751    ,  0.7300074    ,   3718997.    ,  0.6650636E+08,   1577560.    ,  0.2117656E+09,
              8,              1,  0.1192487E+08,  0.6412948    ,  0.7232296    ,   3718997.    ,  0.6618079E+08,   948758.4    ,  0.1422826E+09,
              9,              1,  0.1169578E+08,  0.6289747    ,  0.7088489    ,   3718997.    ,  0.6549416E+08,   614433.4    ,  0.9400989E+08,
             10,              1,  0.1138853E+08,  0.6124518    ,  0.6891850    ,   3718997.    ,  0.6456347E+08,   392093.5    ,  0.6171220E+08,
             11,              1,  0.1127141E+08,  0.6061530    ,  0.7817552E-01,  0.1138853E+08,  0.6420562E+08,   0.000000    ,  0.4025456E+08,
             12,              1,  0.1138774E+08,  0.6124090    ,  0.7817552E-01,  0.1138853E+08,  0.6456104E+08,   0.000000    ,  0.2651990E+08,
             13,              1,  0.1222117E+08,  0.6572293    ,  0.2325900    ,  0.1138853E+08,  0.6705986E+08,   179591.4    ,  0.1775167E+08,
             14,              1,  0.1218958E+08,  0.6555304    ,  0.2275225    ,  0.1138853E+08,  0.6696662E+08,   98253.93    ,  0.1182344E+08,
             15,              1,  0.1173610E+08,  0.6311433    ,  0.7817552E-01,  0.1218958E+08,  0.6561547E+08,   0.000000    ,   7884348.    ,
             16,              1,  0.1126968E+08,  0.6060603    ,  0.7817569E-01,  0.1173610E+08,  0.6420034E+08,  0.9230796E-02,   5344512.    ,
             17,              1,  0.1079878E+08,  0.5807361    ,  0.7817552E-01,  0.1126968E+08,  0.6274386E+08,   0.000000    ,   3652534.    ,
             18,              1,  0.1062901E+08,  0.5716063    ,  0.7817552E-01,  0.1079878E+08,  0.6221159E+08,   0.000000    ,   2516565.    ,
             19,              1,  0.1015498E+08,  0.5461139    ,  0.7817569E-01,  0.1062901E+08,  0.6070420E+08,  0.3055025E-02,   1747804.    ,
             20,              1,   9688336.    ,  0.5210187    ,  0.7817552E-01,  0.1015498E+08,  0.5918818E+08,   0.000000    ,   1223391.    ,
             21,              1,   9553178.    ,  0.5137502    ,  0.7817552E-01,   9688336.    ,  0.5874280E+08,   0.000000    ,   862836.3    ,
             22,              1,   9164335.    ,  0.4928390    ,  0.7817552E-01,   9553178.    ,  0.5744497E+08,   0.000000    ,   613021.9    ,
             23,              1,   8825431.    ,  0.4746135    ,  0.7817552E-01,   9164335.    ,  0.5629290E+08,   0.000000    ,   438629.4    ,
             24,              1,   8598981.    ,  0.4624355    ,  0.7817552E-01,   8825431.    ,  0.5551167E+08,   0.000000    ,   315996.9    ,
             25,              1,   9105168.    ,  0.4896572    ,  0.1174834    ,   8825431.    ,  0.5724528E+08,   43432.86    ,   272583.5    ,
             26,              1,   8651149.    ,  0.4652410    ,  0.7817552E-01,   9105168.    ,  0.5569248E+08,   0.000000    ,   167226.6    ,
             27,              1,   8471708.    ,  0.4555910    ,  0.7817552E-01,   8651149.    ,  0.5506842E+08,   0.000000    ,   122781.0    ,
             28,              1,   8034693.    ,  0.4320892    ,  0.7817552E-01,   8471708.    ,  0.5352246E+08,   0.000000    ,   90677.19    ,
             29,              1,   7984738.    ,  0.4294027    ,  0.7817552E-01,   8034693.    ,  0.5334329E+08,   0.000000    ,   67345.71    ,
             30,              1,   7754730.    ,  0.4170334    ,  0.7817552E-01,   7984738.    ,  0.5251158E+08,   0.000000    ,   50289.18    ,
             31,              1,   7337562.    ,  0.3945990    ,  0.7817552E-01,   7754730.    ,  0.5097344E+08,   0.000000    ,   37748.87    ,
             32,              1,   7792112.    ,  0.4190437    ,  0.8293969E-01,   7754730.    ,  0.5264752E+08,   4618.883    ,   33097.20    ,
             33,              1,   7371412.    ,  0.3964194    ,  0.7817552E-01,   7792112.    ,  0.5109972E+08,   0.000000    ,   21588.68    ,
             34,              1,   7296310.    ,  0.3923805    ,  0.7817552E-01,   7371412.    ,  0.5081916E+08,   0.000000    ,   16442.31    ,
             35,              1,   6890780.    ,  0.3705719    ,  0.7817552E-01,   7296310.    ,  0.4928053E+08,   0.000000    ,   12579.20    ,
             36,              1,   7316041.    ,  0.3934416    ,  0.8058915E-01,   7296310.    ,  0.5089300E+08,   2223.794    ,   11889.36    ,
             37,              1,   7093828.    ,  0.3814915    ,  0.7817552E-01,   7316041.    ,  0.5005600E+08,   0.000000    ,   7457.975    ,
