t,qSeas,pRate,etPond
0.5,10,10,0
1.5,10,10,0
2.5,10,10,0
3.5,10,10,0
4.5,10,10,0
5.5,10,10,0
6.5,10,10,0
7.5,10,10,0
8.5,10,10,0
9.5,10,10,0
10.5,10,10,0
11.5,10,10,0
12.5,10,10,0
13.5,10,10,0
14.5,10,10,0
15.5,10,10,0
16.5,10,10,0
17.5,10,10,0
18.5,10,10,0
19.5,10,10,0
20.5,10,10,0
21.5,10,10,0
22.5,10,10,0
23.5,10,10,0
24.5,10,10,0
25.5,10,10,0
26.5,10,10,0
27.5,10,10,0
28.5,10,10,0
29.5,10,10,0
30.5,10,10,0
31.5,10,10,0
32.5,10,10,0
33.5,10,10,0
34.5,10,10,0
35.5,10,10,0
36.5,10,10,0
37.5,10,10,0
38.5,10,10,0
39.5,10,10,0
40.5,10,10,0
41.5,10,10,0
42.5,10,10,0
43.5,10,10,0
44.5,10,10,0
45.5,10,10,0
46.5,10,10,0
47.5,10,10,0
48.5,10,10,0
49.5,10,10,0
50.5,10,10,0
51.5,10,10,0
52.5,10,10,0
53.5,10,10,0
54.5,10,10,0
55.5,10,10,0
56.5,10,10,0
57.5,10,10,0
58.5,10,10,0
59.5,10,10,0
60.5,10,10,0
61.5,0,0,6.31374786641487
62.5,0,0,6.34916132727876
63.5,0,0,6.38373052015144
64.5,0,0,6.41744520143499
65.5,0,0,6.45029538074174
66.5,0,0,6.48227132385458
67.5,0,0,6.51336355561148
68.5,0,0,6.54356286271314
69.5,0,0,6.57286029645311
70.5,0,0,6.60124717536948
71.5,0,0,6.6287150878174
72.5,0,0,6.65525589446159
73.5,0,0,6.68086173068826
74.5,0,0,6.7055250089355
75.5,0,0,6.72923842094171
76.5,0,0,6.75199493991111
77.5,0,0,6.77378782259602
78.5,0,0,6.79461061129496
79.5,0,0,6.81445713576626
80.5,0,0,6.83332151505639
81.5,0,0,6.85119815924264
82.5,0,0,6.86808177108952
83.5,0,0,6.88396734761847
84.5,0,0,6.89885018159033
85.5,0,0,6.91272586290018
86.5,0,0,6.9255902798842
87.5,0,0,6.937439620538
88.5,0,0,6.94827037364621
89.5,0,0,6.95807932982294
